dateCrawled,name,seller,offerType,price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen,
3/12/2016 21:52,Audi_A4_Avant_1.9_TDI_Pumpe_Duese_115PS_Tiptronic_B5,privat,Angebot,2000,kombi,2001,automatik,115,a4,150000,0,,audi,,3/12/2016 0:00,0,52134,4/5/2016 17:21,
3/27/2016 0:32,MINI_One_Clubman,privat,Angebot,13955,kombi,2015,,97,clubman,20000,8,,mini,nein,3/26/2016 0:00,0,65428,4/7/2016 1:16,
3/31/2016 14:55,Ford_Connect_1_8_Benziner_mit_Prins_Lpg__Motorschaden_,privat,Angebot,1300,bus,2003,manuell,116,andere,150000,8,lpg,ford,ja,3/31/2016 0:00,0,46342,3/31/2016 15:40,
3/29/2016 19:39,Audi_A3_Sportback_1.4_TFSI,privat,Angebot,10700,kombi,2010,manuell,125,a3,125000,4,benzin,audi,nein,3/29/2016 0:00,0,92507,4/6/2016 5:17,
3/8/2016 21:55,Porsche_993_Carrera_2_Coupé,privat,Angebot,57500,coupe,1994,automatik,272,911,100000,8,benzin,porsche,nein,3/8/2016 0:00,0,10585,4/6/2016 8:44,
3/25/2016 22:45,Audi_A6_2.5TDI_Sline_packet_unfallfahrzeug,privat,Angebot,0,limousine,2000,manuell,180,a6,150000,12,diesel,audi,nein,3/25/2016 0:00,0,72411,3/27/2016 10:44,
3/28/2016 0:49,Jeep_Grand_Cherokee_6.1_Automatik_SRT8,privat,Angebot,18300,suv,2007,automatik,426,grand,100000,4,benzin,jeep,nein,3/27/2016 0:00,0,70435,4/6/2016 9:15,
3/8/2016 10:25,bmw_316_i_kombi_mit_allen_extras,privat,Angebot,499,,1998,manuell,112,3er,150000,10,,bmw,,3/8/2016 0:00,0,56567,4/6/2016 7:17,
4/4/2016 18:51,Volkswagen_Golf_Cabrio_Bel_Air,privat,Angebot,2650,cabrio,1990,automatik,98,golf,150000,9,benzin,volkswagen,nein,4/4/2016 0:00,0,81829,4/4/2016 18:51,
3/17/2016 20:40,Susuki_Samurai,privat,Angebot,1350,,1999,,0,,80000,10,,suzuki,,3/17/2016 0:00,0,8525,3/22/2016 2:47,
3/14/2016 12:52,Volkswagen_Crafter_35_L_TDI_DPF,privat,Angebot,24900,bus,2008,manuell,163,andere,60000,8,diesel,volkswagen,nein,3/14/2016 0:00,0,8340,3/18/2016 0:16,
3/20/2016 14:25,Audi_a4_2.0_tdi,privat,Angebot,13000,kombi,2010,manuell,147,a4,125000,0,,audi,,3/20/2016 0:00,0,65195,4/6/2016 23:45,
3/30/2016 16:49,Ford_Street_Ka.1.6_liter_Cabrio_2_Jahre_Tuev,privat,Angebot,1950,cabrio,2004,manuell,90,ka,150000,1,,ford,nein,3/30/2016 0:00,0,38226,4/1/2016 11:17,
3/18/2016 18:22,Audi_A6_Avant_Quattro_V6_2_8_Liter_mit_142_KW_/_193_PS,privat,Angebot,2599,kombi,1998,manuell,193,a6,150000,3,lpg,audi,nein,3/18/2016 0:00,0,35102,4/6/2016 7:46,
3/20/2016 19:41,Audi_A4_Avant_2.5_TDI,privat,Angebot,4900,kombi,2005,manuell,163,a4,150000,4,diesel,audi,nein,3/20/2016 0:00,0,94116,3/24/2016 12:45,
3/25/2016 12:50,Opel_Zafira_1_6,privat,Angebot,9734,bus,2012,manuell,115,zafira,60000,6,benzin,opel,,3/25/2016 0:00,0,44357,3/28/2016 12:15,
3/24/2016 1:58,Audi_A4_Cabriolet_1.8_T,privat,Angebot,10000,cabrio,2006,manuell,163,a4,100000,4,benzin,audi,nein,3/24/2016 0:00,0,97080,3/24/2016 8:43,
3/21/2016 17:50,Volvo_XC90_D5_AWD_Geartronic_Edition_Pro,privat,Angebot,32499,suv,2013,automatik,200,xc_reihe,60000,12,diesel,volvo,nein,3/21/2016 0:00,0,1945,3/22/2016 22:47,
4/1/2016 16:56,Volkswagen_Caravelle_Lang_DPF_TREND_AHK_SH_TEMP_TÜV_03/17,privat,Angebot,9900,bus,2009,manuell,102,transporter,150000,8,diesel,volkswagen,nein,4/1/2016 0:00,0,15517,4/5/2016 12:47,
3/14/2016 12:50,Verkaufe_tausche_mein_Audi,privat,Angebot,2200,kombi,2001,manuell,150,a4,150000,0,,audi,nein,3/14/2016 0:00,0,37603,3/20/2016 0:17,
3/8/2016 10:54,Seat_Ibiza_1.2_12V_Fresh.Neue_Tuev,privat,Angebot,1699,kleinwagen,2003,manuell,64,ibiza,150000,9,benzin,seat,nein,3/8/2016 0:00,0,12057,4/7/2016 7:44,
4/3/2016 18:06,FIAT_Punto_1_2_5_tuere_2000bj_mit_tuev_01_2017_unfall_fharbereit.,privat,Angebot,300,kleinwagen,2000,manuell,70,punto,5000,0,benzin,fiat,ja,4/3/2016 0:00,0,63225,4/7/2016 2:17,
3/26/2016 19:47,Opel_Astra_1.6_Caravan_Edition_2000,privat,Angebot,850,kombi,2001,manuell,75,astra,150000,3,benzin,opel,nein,3/26/2016 0:00,0,79115,3/28/2016 9:15,
3/16/2016 17:58,Windschott_Tasche__Huelle_original_Audi_8G0862965,privat,Angebot,69,,1995,,0,,5000,0,,audi,,3/16/2016 0:00,0,46282,3/19/2016 15:50,
4/4/2016 12:56,VW_Bora_V5_2_3_TÜV_05.216,privat,Angebot,1499,limousine,1999,automatik,150,bora,30000,3,benzin,volkswagen,,4/4/2016 0:00,0,72805,4/6/2016 14:16,
4/3/2016 7:59,Mazda_Mx_5_nb_Zu_verkaufen/Tauschen!,privat,Angebot,2200,cabrio,1999,manuell,110,mx_reihe,150000,0,benzin,mazda,nein,4/3/2016 0:00,0,32584,4/7/2016 10:17,
3/31/2016 1:56,Mitsubishi_Carisma,privat,Angebot,2100,limousine,2003,manuell,103,carisma,125000,5,benzin,mitsubishi,nein,3/31/2016 0:00,0,80933,4/6/2016 2:16,
3/17/2016 17:48,Peugeot_107_70_Petit_Filou_*30000_km*_Garagenfahrzeug,privat,Angebot,4250,kleinwagen,2009,manuell,68,1_reihe,30000,10,benzin,peugeot,nein,3/17/2016 0:00,0,21035,4/5/2016 1:45,
3/28/2016 18:39,BMW_318i_Touring,privat,Angebot,9500,kombi,2006,manuell,129,3er,125000,10,benzin,bmw,nein,3/28/2016 0:00,0,58553,4/7/2016 0:17,
3/9/2016 7:55,Lada_Niva_1.7i_California_TÜV_02/2017_AHK_TAUSCH_moeglich!,privat,Angebot,3700,suv,2005,manuell,82,niva,80000,8,benzin,lada,nein,3/9/2016 0:00,0,99610,3/12/2016 17:46,
3/22/2016 12:57,Audi_A4_2.0_Automatik,privat,Angebot,3500,limousine,2002,automatik,131,a4,150000,0,benzin,audi,nein,3/22/2016 0:00,0,21640,3/22/2016 12:57,
3/6/2016 20:37,Polo86c_KEIN_TÜV,privat,Angebot,150,kleinwagen,1991,manuell,0,polo,150000,0,benzin,volkswagen,,3/6/2016 0:00,0,37115,3/10/2016 0:45,
3/14/2016 21:49,Volvo_V60_2_5T_mit_Gasanlage_LPG,privat,Angebot,3599,limousine,2003,automatik,209,v60,150000,3,lpg,volvo,nein,3/14/2016 0:00,0,70437,3/17/2016 12:45,
4/1/2016 9:53,Fiat_Ulisee_2.2_Diesel,privat,Angebot,850,kombi,2002,manuell,120,,150000,7,,fiat,ja,4/1/2016 0:00,0,86163,4/5/2016 3:46,
3/28/2016 14:49,Audi_A3_1.9_TDI_DPF_Ambition,privat,Angebot,7750,limousine,2008,manuell,105,a3,150000,3,diesel,audi,nein,3/28/2016 0:00,0,97753,4/6/2016 19:16,
3/25/2016 0:49,Verkaufe_VW_Golf_Kombi_115_PS,privat,Angebot,2100,kombi,2000,manuell,115,golf,150000,10,benzin,volkswagen,,3/24/2016 0:00,0,94513,4/6/2016 4:46,
3/24/2016 15:58,VW_Polo_1.0l_zu_verkaufen,privat,Angebot,1199,kleinwagen,2000,manuell,50,polo,150000,3,benzin,volkswagen,,3/24/2016 0:00,0,16567,4/3/2016 8:15,
3/21/2016 21:52,Renault_clio,privat,Angebot,799,,2005,manuell,0,clio,150000,0,,renault,,3/21/2016 0:00,0,59302,3/21/2016 22:41,
3/26/2016 17:44,Mondeo_Kombi,privat,Angebot,1750,kombi,2002,,0,mondeo,150000,6,diesel,ford,,3/26/2016 0:00,0,52441,4/4/2016 5:18,
3/27/2016 13:49,Ford_Focus_1.6_16V_Trend,privat,Angebot,2790,limousine,2006,manuell,101,focus,150000,12,benzin,ford,nein,3/27/2016 0:00,0,57319,3/27/2016 13:49,
3/23/2016 11:41,Volkswagen_Lupo_1.4,privat,Angebot,900,kleinwagen,2003,manuell,60,lupo,150000,1,benzin,volkswagen,nein,3/23/2016 0:00,0,42929,3/24/2016 18:44,
3/18/2016 0:51,Volkswagen_Polo_Classic_60,privat,Angebot,999,kleinwagen,1997,manuell,60,polo,150000,10,benzin,volkswagen,nein,3/17/2016 0:00,0,97737,3/29/2016 12:46,
3/18/2016 2:36,Ford_Kuga_2.0_TDCi_4x4_Aut._Titanium,privat,Angebot,14800,suv,2010,automatik,163,kuga,125000,11,diesel,ford,nein,3/18/2016 0:00,0,44309,4/5/2016 22:15,
3/16/2016 11:44,BMW_X3_xDrive20d_inkl._Winterreifen,privat,Angebot,15900,suv,2009,manuell,177,x_reihe,70000,9,diesel,bmw,,3/16/2016 0:00,0,64859,3/20/2016 9:18,
3/10/2016 12:49,E_200_kombi_benziner,privat,Angebot,850,kombi,1997,manuell,136,e_klasse,150000,3,benzin,mercedes_benz,nein,3/10/2016 0:00,0,41068,3/11/2016 0:15,
